"No,Kode Artikel,Nama Artikel,Tier,QTY BOX DDD,QTY BOX LJBB,QTY BOX MBB,TOTAL,QTY PAIRS,Tier Luxodev,Status,Wilbex 2026,accurate,%,31%,10%,8%,0%,0%,51%,100%,0%,100%"
"161,E2AEA9,""Ladies Elsa 9, Silver Grey"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"162,E2AEA10,""Ladies Elsa 10, Silver Navy"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"163,E2AEA11,""Ladies Elsa 11, GingerSnap"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"164,M1BLACK3,""MEN BLACK SERIES 3, COSMIC GREY"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"165,M1AZCA1,""MEN CLASSIC 1, JET BLACK"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"166,M1AZCA23,""MEN CLASSIC 23, NAVY BLACK"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"167,L2AZSV1,""LADIES COUPLE SERIES 1, GINGERSNAP"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"168,L2AZSV2,""LADIES COUPLE SERIES 2, TURQUOISE SILVER"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"169,M1KZSP1,""BOYS STRIPE 1, BLACK TURQUOISE V2"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"170,M1KZON1,""BOYS ONYX 1, BLACK BLACK"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"171,M1KZON2,""BOYS ONYX 2, ARMY BLACK"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"172,M1KZON3,""BOYS ONYX 2, NAVY GREY"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"173,SJ2KSP1,""Girls Stripe 1, Black Pink"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"174,SJ2KSP6,""Girls Stripe 6, Crystal Blue-Peach"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"175,L2KZSP1,""GIRLS STRIPE 1, BLACK PINK V2"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"176,SJ1BCL1,""Baby Boys Collab 1, Disney Mickey Black"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"177,SJ2BCL1,""Baby Girls Collab 1, Disney Minnie Pink"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"178,SJ2BCL2,""Baby Girls Collab 2, Disney Minnie Turquoise"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"179,BGCO2B0HKP,""Baby Collab Girls Zuma x Helkity, Pink"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"180,BGCO2B0HKT,""Baby Collab Girls Zuma x Helkity, Tosca"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"181,SJ1BD01,""Baby Doraemon 1, Zuma x Doraemon Blue"",5,0,0,0,0,0,5,,,,,,,,,,,,,"
"182,M1AZON5,""MEN ONYX 5, TURQUOISE BLACK"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"183,M1AZON6,""MEN ONYX 6, COFFEE"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"184,M1AZON7,""MEN ONYX 7, YOUNG ARMY"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
"185,L3WG01,""LADIES WEDGES 1, BLACK GOLD"",3,0,0,0,0,0,4,,,,,,,,,,,,,"
"186,M1AZCA27,""MEN CLASSIC 27, GREY GREY"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"187,M1AZON1,""MEN ONYX 1, BLACK BLACK"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
