Kode Artikel,Nama Artikel,Tier,QTY WHS DDD,QTY WHS LJBB,QTY WHS MBB,TOTAL WHS,RO BOX DDD,RO BOX LJBB,RO BOX MBB,TOTAL RO,READY STOCK
L1CA07,"LADIES CLASSIC 7, GINGER SNAP",1,0,0,0,0,0,0,,0,0
M1SL10,"MEN SLIDE ESSENTIALS 10, BLACK",4,0,0,0,0,0,0,,0,0
L1CA28,"LADIES CLASSIC 28, BALLET ROSE",1,0,0,0,0,0,0,,0,0
M1ON07,"MEN ONYX 7, YOUNG ARMY",4,0,0,0,0,0,0,,0,0
BB2CA01,"BABY BOYS CLASSIC 1, STEEL BLUE",4,0,0,0,0,0,0,,0,0
BB2CA02,"BABY BOYS CLASSIC 2, HAZELNUT",1,0,0,0,0,0,0,,0,0
BG2CA04,"BABY GIRLS CLASSIC 4, CANDY PINK",4,0,0,0,0,0,0,,0,0
BB1CL02,"BABY BOYS COLLAB 2, DISNEY MICKEY & FRIENDS BLUE",1,0,0,0,0,0,0,,0,0
BB1CL03,"BABY BOYS COLLAB 3, DISNEY MICKEY & FRIENDS BROWN",1,0,0,0,0,0,0,,0,0
BG1CL03,"BABY GIRLS COLLAB 3, DISNEY MICKEY & FRIENDS PINK",1,0,0,0,0,0,0,,0,0
M1RK01,"MEN ROCKY 1, BLACK",4,0,0,0,0,0,0,,0,0
M1RK02,"MEN ROCKY 2, NAVY",4,0,0,0,0,0,0,,0,0
M1RK03,"MEN ROCKY 3, BROWN",4,0,0,0,0,0,0,,0,0
M1RK04,"MEN ROCKY 4, GREY",4,0,0,0,0,0,0,,0,0
M1RK05,"MEN ROCKY 5, ARMY",4,0,0,0,0,0,0,,0,0
M2SM01,"MEN SUMMER 1,BLACK",4,0,0,0,0,0,0,,0,0
M2SM02,"MEN SUMMER 2,NAVY",4,0,0,0,0,0,0,,0,0
M2SM03,"MEN SUMMER 3,GREY",4,0,0,0,0,0,0,,0,0
M2SM04,"MEN SUMMER 4,ARMY",4,0,0,0,0,0,0,,0,0
